"_span","_time",logons
3600,1523602800,1
3600,1523606400,1
3600,1523610000,2
3600,1523613600,2
3600,1523617200,3
3600,1523620800,4
3600,1523624400,6
3600,1523628000,10
3600,1523631600,13
3600,1523635200,17
3600,1523638800,26
3600,1523642400,31
3600,1523646000,32
3600,1523649600,43
3600,1523653200,45
3600,1523656800,53
3600,1523660400,59
3600,1523664000,65
3600,1523667600,67
3600,1523671200,72
3600,1523674800,73
3600,1523678400,75
3600,1523682000,75
3600,1523685600,75
3600,1523689200,76
3600,1523692800,75
3600,1523696400,73
3600,1523700000,71
3600,1523703600,68
3600,1523707200,66
3600,1523710800,63
3600,1523714400,57
3600,1523718000,53
3600,1523721600,54
3600,1523725200,45
3600,1523728800,49
3600,1523732400,44
3600,1523736000,41
3600,1523739600,37
3600,1523743200,35
3600,1523746800,33
3600,1523750400,32
3600,1523754000,32
3600,1523757600,32
3600,1523761200,32
3600,1523764800,32
3600,1523768400,32
3600,1523772000,32
3600,1523775600,32
3600,1523779200,33
3600,1523782800,32
3600,1523786400,31
3600,1523790000,29
3600,1523793600,29
3600,1523797200,26
3600,1523800800,26
3600,1523804400,20
3600,1523808000,21
3600,1523811600,22
3600,1523815200,25
3600,1523818800,28
3600,1523822400,31
3600,1523826000,31
3600,1523829600,32
3600,1523833200,35
3600,1523836800,37
3600,1523840400,38
3600,1523844000,39
3600,1523847600,40
3600,1523851200,41
3600,1523854800,40
3600,1523858400,41
3600,1523862000,41
3600,1523865600,41
3600,1523869200,40
3600,1523872800,40
3600,1523876400,40
3600,1523880000,39
3600,1523883600,38
3600,1523887200,36
3600,1523890800,32
3600,1523894400,34
3600,1523898000,33
3600,1523901600,41
3600,1523905200,45
3600,1523908800,43
3600,1523912400,48
3600,1523916000,57
3600,1523919600,61
3600,1523923200,68
3600,1523926800,71
3600,1523930400,73
3600,1523934000,74
3600,1523937600,76
3600,1523941200,77
3600,1523944800,77
3600,1523948400,77
3600,1523952000,77
3600,1523955600,77
3600,1523959200,76
3600,1523962800,75
3600,1523966400,76
3600,1523970000,73
3600,1523973600,71
3600,1523977200,63
3600,1523980800,68
3600,1523984400,73
3600,1523988000,67
3600,1523991600,58
3600,1523995200,55
3600,1523998800,52
3600,1524002400,61
3600,1524006000,68
3600,1524009600,69
3600,1524013200,69
3600,1524016800,69
3600,1524020400,69
3600,1524024000,71
3600,1524027600,71
3600,1524031200,71
3600,1524034800,71
3600,1524038400,70
3600,1524042000,68
3600,1524045600,67
3600,1524049200,65
3600,1524052800,65
3600,1524056400,54
3600,1524060000,53
3600,1524063600,54
3600,1524067200,54
3600,1524070800,55
3600,1524074400,55
3600,1524078000,42
3600,1524081600,46
3600,1524085200,47
3600,1524088800,49
3600,1524092400,50
3600,1524096000,56
3600,1524099600,55
3600,1524103200,57
3600,1524106800,59
3600,1524110400,59
3600,1524114000,59
3600,1524117600,59
3600,1524121200,59
3600,1524124800,59
3600,1524128400,58
3600,1524132000,57
3600,1524135600,54
3600,1524139200,51
3600,1524142800,50
3600,1524146400,51
3600,1524150000,48
3600,1524153600,51
3600,1524157200,41
3600,1524160800,45
3600,1524164400,45
3600,1524168000,45
3600,1524171600,46
3600,1524175200,52
3600,1524178800,65
3600,1524182400,72
3600,1524186000,77
3600,1524189600,81
3600,1524193200,81
3600,1524196800,82
3600,1524200400,83
3600,1524204000,83
3600,1524207600,83
3600,1524211200,83
3600,1524214800,83
3600,1524218400,82
3600,1524222000,78
3600,1524225600,79
3600,1524229200,78
3600,1524232800,80
