"_time",logons
"2018-08-04T00:00:00.000-0700",0
"2018-08-04T00:05:00.000-0700",1
"2018-08-04T00:10:00.000-0700",1
"2018-08-04T00:15:00.000-0700",1
"2018-08-04T00:20:00.000-0700",1
"2018-08-04T00:25:00.000-0700","1.7"
"2018-08-04T00:30:00.000-0700",2
"2018-08-04T00:35:00.000-0700",2
"2018-08-04T00:40:00.000-0700",2
"2018-08-04T00:45:00.000-0700","0.3999999999999999"
"2018-08-04T00:50:00.000-0700","2.4"
"2018-08-04T00:55:00.000-0700","0.8999999999999999"
"2018-08-04T01:00:00.000-0700",3
"2018-08-04T01:05:00.000-0700","4.2"
"2018-08-04T01:10:00.000-0700","1.8"
"2018-08-04T01:15:00.000-0700","4.5"
"2018-08-04T01:20:00.000-0700","6.8"
"2018-08-04T01:25:00.000-0700",4
"2018-08-04T01:30:00.000-0700","5.2"
"2018-08-04T01:35:00.000-0700",4
"2018-08-04T01:40:00.000-0700","4.8"
"2018-08-04T01:45:00.000-0700","2.4"
"2018-08-04T01:50:00.000-0700",4
"2018-08-04T01:55:00.000-0700",4
"2018-08-04T02:00:00.000-0700",4
"2018-08-04T02:05:00.000-0700",4
"2018-08-04T02:10:00.000-0700",4
"2018-08-04T02:15:00.000-0700",4
"2018-08-04T02:20:00.000-0700",4
"2018-08-04T02:25:00.000-0700",4
"2018-08-04T02:30:00.000-0700",4
"2018-08-04T02:35:00.000-0700",4
"2018-08-04T02:40:00.000-0700",4
"2018-08-04T02:45:00.000-0700",4
"2018-08-04T02:50:00.000-0700",4
"2018-08-04T02:55:00.000-0700",4
"2018-08-04T03:00:00.000-0700",4
"2018-08-04T03:05:00.000-0700",4
"2018-08-04T03:10:00.000-0700",4
"2018-08-04T03:15:00.000-0700","2.4"
"2018-08-04T03:20:00.000-0700",6
"2018-08-04T03:25:00.000-0700",3
"2018-08-04T03:30:00.000-0700",3
"2018-08-04T03:35:00.000-0700","3.5"
"2018-08-04T03:40:00.000-0700",3
"2018-08-04T03:45:00.000-0700","1.5"
"2018-08-04T03:50:00.000-0700",1
"2018-08-04T03:55:00.000-0700","4.5"
"2018-08-04T04:00:00.000-0700",5
"2018-08-04T04:05:00.000-0700",5
"2018-08-04T04:10:00.000-0700",5
"2018-08-04T04:15:00.000-0700",5
"2018-08-04T04:20:00.000-0700",5
"2018-08-04T04:25:00.000-0700",5
"2018-08-04T04:30:00.000-0700",5
"2018-08-04T04:35:00.000-0700",5
"2018-08-04T04:40:00.000-0700",4
"2018-08-04T04:45:00.000-0700",4
"2018-08-04T04:50:00.000-0700",5
"2018-08-04T04:55:00.000-0700",5
"2018-08-04T05:00:00.000-0700",5
"2018-08-04T05:05:00.000-0700",5
"2018-08-04T05:10:00.000-0700",6
"2018-08-04T05:15:00.000-0700",6
"2018-08-04T05:20:00.000-0700",6
"2018-08-04T05:25:00.000-0700","9.6"
"2018-08-04T05:30:00.000-0700","13.6"
"2018-08-04T05:35:00.000-0700","5.4"
"2018-08-04T05:40:00.000-0700",6
"2018-08-04T05:45:00.000-0700",15
"2018-08-04T05:50:00.000-0700",10
"2018-08-04T05:55:00.000-0700",4
"2018-08-04T06:00:00.000-0700","12.1"
"2018-08-04T06:05:00.000-0700","16.5"
"2018-08-04T06:10:00.000-0700",12
"2018-08-04T06:15:00.000-0700",13
"2018-08-04T06:20:00.000-0700",14
"2018-08-04T06:25:00.000-0700",15
"2018-08-04T06:30:00.000-0700",15
"2018-08-04T06:35:00.000-0700",15
"2018-08-04T06:40:00.000-0700",16
"2018-08-04T06:45:00.000-0700",16
"2018-08-04T06:50:00.000-0700",16
"2018-08-04T06:55:00.000-0700",16
"2018-08-04T07:00:00.000-0700",16
"2018-08-04T07:05:00.000-0700",17
"2018-08-04T07:10:00.000-0700",19
"2018-08-04T07:15:00.000-0700",18
"2018-08-04T07:20:00.000-0700",19
"2018-08-04T07:25:00.000-0700",19
"2018-08-04T07:30:00.000-0700",20
"2018-08-04T07:35:00.000-0700",20
"2018-08-04T07:40:00.000-0700",20
"2018-08-04T07:45:00.000-0700","37.8"
"2018-08-04T07:50:00.000-0700","33.6"
"2018-08-04T07:55:00.000-0700","4.199999999999999"
"2018-08-04T08:00:00.000-0700","6.300000000000001"
"2018-08-04T08:05:00.000-0700","33.6"
"2018-08-04T08:10:00.000-0700",18
"2018-08-04T08:15:00.000-0700","33.6"
"2018-08-04T08:20:00.000-0700","8.4"
