"_time",logons,"sma5_logons",isAnomaly
"1533366000.0","0.0",,Normal
"1533366300.0","1.0",,Normal
"1533366600.0","1.0",,Normal
"1533366900.0","1.0",,Normal
"1533367200.0","1.0","0.8",Normal
"1533367500.0","1.7","1.14",Normal
"1533367800.0","2.0","1.34",Normal
"1533368100.0","2.0","1.54",Normal
"1533368400.0","2.0","1.74",Normal
"1533368700.0","0.4","1.62",Normal
"1533369000.0","2.4","1.76",Normal
"1533369300.0","0.9","1.54",Normal
"1533369600.0","3.0","1.74",Normal
"1533369900.0","4.2","2.18",Normal
"1533370200.0","1.8","2.46",Normal
"1533370500.0","4.5","2.88",Normal
"1533370800.0","6.8","4.06",Normal
"1533371100.0","4.0","4.26",Normal
"1533371400.0","5.2","4.46",Normal
"1533371700.0","4.0","4.9",Normal
"1533372000.0","4.8","4.96",Normal
"1533372300.0","2.4","4.08",Normal
"1533372600.0","4.0","4.08",Normal
"1533372900.0","4.0","3.84",Normal
"1533373200.0","4.0","3.84",Normal
"1533373500.0","4.0","3.68",Normal
"1533373800.0","4.0","4.0",Normal
"1533374100.0","4.0","4.0",Normal
"1533374400.0","4.0","4.0",Normal
"1533374700.0","4.0","4.0",Normal
"1533375000.0","4.0","4.0",Normal
"1533375300.0","4.0","4.0",Normal
"1533375600.0","4.0","4.0",Normal
"1533375900.0","4.0","4.0",Normal
"1533376200.0","4.0","4.0",Normal
"1533376500.0","4.0","4.0",Normal
"1533376800.0","4.0","4.0",Normal
"1533377100.0","4.0","4.0",Normal
"1533377400.0","4.0","4.0",Normal
"1533377700.0","2.4","3.68",Normal
"1533378000.0","6.0","4.08",Normal
"1533378300.0","3.0","3.88",Normal
"1533378600.0","3.0","3.68",Normal
"1533378900.0","3.5","3.58",Normal
"1533379200.0","3.0","3.7",Normal
"1533379500.0","1.5","2.8",Normal
"1533379800.0","1.0","2.4",Normal
"1533380100.0","4.5","2.7",Normal
"1533380400.0","5.0","3.0",Normal
"1533380700.0","5.0","3.4",Normal
"1533381000.0","5.0","4.1",Normal
"1533381300.0","5.0","4.9",AnomalyType1
"1533381600.0","5.0","5.0",AnomalyType1
"1533381900.0","5.0","5.0",AnomalyType1
"1533382200.0","5.0","5.0",AnomalyType1
"1533382500.0","5.0","5.0",AnomalyType1
"1533382800.0","4.0","4.8",Normal
"1533383100.0","4.0","4.6",Normal
"1533383400.0","5.0","4.6",Normal
"1533383700.0","5.0","4.6",Normal
"1533384000.0","5.0","4.6",Normal
"1533384300.0","5.0","4.8",AnomalyType1
"1533384600.0","6.0","5.2",Normal
"1533384900.0","6.0","5.4",Normal
"1533385200.0","6.0","5.6",Normal
"1533385500.0","9.6","6.52",Normal
"1533385800.0","13.6","8.24",Normal
"1533386100.0","5.4","8.12",Normal
"1533386400.0","6.0","8.12",Normal
"1533386700.0","15.0","9.92",Normal
"1533387000.0","10.0","10.0",Normal
"1533387300.0","4.0","8.08",Normal
"1533387600.0","12.1","9.42",Normal
"1533387900.0","16.5","11.52",Normal
"1533388200.0","12.0","10.92",Normal
"1533388500.0","13.0","11.52",Normal
"1533388800.0","14.0","13.52",Normal
"1533389100.0","15.0","14.1",Normal
"1533389400.0","15.0","13.8",Normal
"1533389700.0","15.0","14.4",Normal
"1533390000.0","16.0","15.0",Normal
"1533390300.0","16.0","15.4",Normal
"1533390600.0","16.0","15.6",Normal
"1533390900.0","16.0","15.8",Normal
"1533391200.0","16.0","16.0",Normal
"1533391500.0","17.0","16.2",Normal
"1533391800.0","19.0","16.8",Normal
"1533392100.0","18.0","17.2",Normal
"1533392400.0","19.0","17.8",Normal
"1533392700.0","19.0","18.4",Normal
"1533393000.0","20.0","19.0",Normal
"1533393300.0","20.0","19.2",Normal
"1533393600.0","20.0","19.6",Normal
"1533393900.0","37.8","23.36",Normal
"1533394200.0","33.6","26.28",Normal
"1533394500.0","4.2","23.12",Normal
"1533394800.0","6.3","20.38",Normal
"1533395100.0","33.6","23.1",Normal
"1533395400.0","18.0","19.14",Normal
"1533395700.0","33.6","19.14",Normal
"1533396000.0","8.4","19.98",Normal
"1533396300.0","14.7","21.66",Normal
"1533396600.0","23.0","19.54",Normal
"1533396900.0","23.0","20.54",Normal
"1533397200.0","23.0","18.42",Normal
"1533397500.0","24.0","21.54",Normal
"1533397800.0","24.0","23.4",Normal
"1533398100.0","23.0","23.4",Normal
"1533398400.0","26.0","24.0",Normal
"1533398700.0","26.0","24.6",Normal
"1533399000.0","28.0","25.4",Normal
"1533399300.0","30.0","26.6",Normal
"1533399600.0","34.0","28.8",Normal
"1533399900.0","35.0","30.6",Normal
"1533400200.0","34.0","32.2",Normal
"1533400500.0","37.0","34.0",Normal
"1533400800.0","39.0","35.8",Normal
"1533401100.0","40.0","37.0",Normal
"1533401400.0","41.0","38.2",Normal
"1533401700.0","44.0","40.2",Normal
"1533402000.0","45.0","41.8",Normal
"1533402300.0","48.0","43.6",Normal
"1533402600.0","48.0","45.2",Normal
"1533402900.0","49.0","46.8",Normal
"1533403200.0","50.0","48.0",Normal
"1533403500.0","52.0","49.4",Normal
"1533403800.0","52.0","50.2",Normal
"1533404100.0","52.0","51.0",Normal
"1533404400.0","53.0","51.8",Normal
"1533404700.0","51.0","52.0",Normal
"1533405000.0","54.0","52.4",Normal
"1533405300.0","53.0","52.6",Normal
"1533405600.0","50.0","52.2",Normal
"1533405900.0","49.0","51.4",Normal
"1533406200.0","52.0","51.6",Normal
"1533406500.0","53.0","51.4",Normal
"1533406800.0","52.0","51.2",Normal
"1533407100.0","52.0","51.6",Normal
"1533407400.0","51.0","52.0",Normal
"1533407700.0","53.0","52.2",Normal
"1533408000.0","57.0","53.0",Normal
"1533408300.0","57.0","54.0",Normal
"1533408600.0","57.0","55.0",Normal
"1533408900.0","57.0","56.2",Normal
"1533409200.0","58.0","57.2",Normal
"1533409500.0","58.0","57.4",Normal
"1533409800.0","61.0","58.2",Normal
"1533410100.0","61.0","59.0",Normal
"1533410400.0","60.0","59.6",Normal
"1533410700.0","62.0","60.4",Normal
"1533411000.0","63.0","61.4",Normal
"1533411300.0","85.4","66.28",Normal
"1533411600.0","43.4","62.76",Normal
"1533411900.0","113.9","73.54",Normal
"1533412200.0","104.0","81.94",Normal
"1533412500.0","55.8","80.5",Normal
"1533412800.0","61.0","75.62",Normal
"1533413100.0","85.4","84.02",Normal
"1533413400.0","61.0","73.44",Normal
"1533413700.0","55.8","63.8",Normal
"1533414000.0","58.0","64.24",Normal
