model,max_tokens,max_input_tokens,max_output_tokens,input_cost_per_token,output_cost_per_token,litellm_provider,mode,supports_function_calling,supports_parallel_function_calling,supports_vision,source,output_vector_size,input_cost_per_pixel,output_cost_per_pixel,input_cost_per_second,output_cost_per_second,input_cost_per_character,supports_assistant_prefill,input_cost_per_token_cache_hit,supports_tool_choice,tool_use_system_prompt_tokens,output_cost_per_character,input_cost_per_image,input_cost_per_video_per_second,input_cost_per_audio_per_second,input_cost_per_token_above_128k_tokens,input_cost_per_character_above_128k_tokens,output_cost_per_token_above_128k_tokens,output_cost_per_character_above_128k_tokens,output_cost_per_image,output_cost_per_video_per_second,output_cost_per_audio_per_second,supports_system_messages,supports_response_schema,max_images_per_prompt,max_videos_per_prompt,max_video_length,max_audio_length_hours,max_audio_per_prompt,max_pdf_size_mb,cost_per_image,input_cost_per_token_batch_requests,input_cost_per_request
sample_spec,set to max_output_tokens if provider specifies it. IF not set to max_tokens provider specifies,"max input tokens, if the provider specifies it. if not default to max_tokens","max output tokens, if the provider specifies it. if not default to max_tokens",0.0000000000,0.0000000000,one of https://docs.litellm.ai/docs/providers,"one of chat, embedding, completion, image_generation, audio_transcription",True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4,4096,8192,4096,0.0000300000,0.0000600000,openai,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o,4096,128000,4096,0.0000050000,0.0000150000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-mini,16384,128000,16384,0.0000001500,0.0000006000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-mini-2024-07-18,16384,128000,16384,0.0000001500,0.0000006000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chatgpt-4o-latest,4096,128000,4096,0.0000050000,0.0000150000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-05-13,4096,128000,4096,0.0000050000,0.0000150000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-08-06,16384,128000,16384,0.0000025000,0.0000100000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-turbo-preview,4096,128000,4096,0.0000100000,0.0000300000,openai,chat,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-0314,4096,8192,4096,0.0000300000,0.0000600000,openai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-0613,4096,8192,4096,0.0000300000,0.0000600000,openai,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-32k,4096,32768,4096,0.0000600000,0.0001200000,openai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
