"accept_language","http_user_agent","http_method",status,"_tc","len_al","len_ua"
en,"Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/)",GET,200,590479,2,61
"---","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1",GET,200,590479,3,72
"---","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",GET,200,590479,3,72
"---","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)",GET,200,590479,3,71
"---","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1",POST,200,590479,3,72
"---","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",GET,200,590479,3,198
"en-US","Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)",GET,200,590479,5,83
"---","Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)",GET,200,590479,3,90
"---","Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)",GET,200,590479,3,83
"---","Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)",GET,200,590479,3,66
"---","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)",GET,200,590479,3,55
"en-US,en;q=0.8","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36",POST,404,590479,14,108
"en-US;q=0.5,en;q=0.3","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36",POST,200,590479,20,113
"---","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1",GET,301,590479,3,72
"ru, uk;q=0.8, be;q=0.8, en;q=0.7, *;q=0.01","Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)",GET,200,590479,42,64
"en-us,en;q=0.5","Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )",GET,200,590479,14,72
en,"Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)",GET,200,590479,2,79
"---","WEBDAV Client",PROPFIND,405,590479,3,13
"en-US,en;q=0.8","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",POST,200,590479,14,120
"zh-cn","Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)",GET,200,590479,5,83
"---","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)",GET,301,590479,3,71
"---","Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0",POST,200,590479,3,65
"---","Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0",GET,200,590479,3,65
"en-US,en;q=0.8","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,14,109
"---","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",GET,301,590479,3,72
"---","Mozilla/5.0 (compatible; SemrushBot/1.1~bl; +http://www.semrush.com/bot.html)",GET,200,590479,3,77
"en-US,en;q=0.8","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,14,108
"---","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36",GET,200,590479,3,109
"---","Mozilla/5.0 (Windows NT 6.1; rv:34.0) Gecko/20100101 Firefox/34.0",GET,404,590479,3,65
"en-us","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",GET,200,590479,5,119
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",GET,200,590479,5,134
"---","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)",GET,404,590479,3,71
"en-US,en;q=0.5","Opera/9.80 (Windows NT 6.2; Win64; x64) Presto/2.12.388 Version/12.17",GET,200,590479,14,69
"en-US,en;q=0.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,14,114
"---","Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)",GET,302,590479,3,66
"---","Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)",GET,404,590479,3,195
"zh-cn","Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)",GET,200,590479,5,71
"---","---",GET,301,590479,3,3
"en-US,en;q=0.8,ka;q=0.6","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36",POST,200,590479,23,105
"---","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",GET,404,590479,3,72
"en-US","Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)",GET,301,590479,5,83
"en-US,en;q=0.8","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",POST,200,590479,14,120
"---","Mozilla/5.0 (Windows NT 6.1; rv:34.0) Gecko/20100101 Firefox/34.0",GET,301,590479,3,65
"zh-cn","Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)",GET,302,590479,5,83
"en-US,en;q=0.8","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36",GET,404,590479,14,108
"en-US,en;q=0.5","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",GET,200,590479,14,73
"ru,by;q=0.7,en;q=0.7,kz;q=0.7,ua;q=0.7,*;q=0.1","Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)",GET,200,590479,46,87
"---","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36",POST,200,590479,3,109
"---","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1",POST,301,590479,3,72
"zh-cn,zh-tw","Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)",GET,200,590479,11,83
"---","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36",GET,302,590479,3,109
"---","---",GET,200,590479,3,3
"---","Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)",GET,200,590479,3,195
"---","Mozilla/5.0 (Windows NT 6.1; rv:34.0) Gecko/20100101 Firefox/34.0",POST,404,590479,3,65
